2,GPP-3.06537-47.26552
2001-01-01,4.47083564280149
2001-01-02,4.083263353865776
2001-01-03,4.334525586303953
2001-01-04,4.609295660452736
2001-01-05,5.144714855252644
2001-01-06,4.451544412413804
2001-01-07,6.382759443298086
2001-01-08,5.984988294331108
2001-01-09,4.752403472562686
2001-01-10,4.29002398478539
2001-01-11,4.046381103429674
2001-01-12,5.080049325987913
2001-01-13,3.251669979579507
2001-01-14,2.965902481170251
2001-01-15,4.090578320877918
2001-01-16,4.582784389506432
2001-01-17,4.413770372238135
2001-01-18,5.1211511537371255
2001-01-19,2.904037756862237
2001-01-20,2.3211619755957233
2001-01-21,4.766805563333458
2001-01-22,3.568605465174295
2001-01-23,3.9328060668001266
2001-01-24,3.977153655282489
2001-01-25,4.976223621601132
2001-01-26,4.537541528432647
2001-01-27,5.006794739184574
2001-01-28,4.259578793674015
2001-01-29,5.267214987779867
2001-01-30,6.5981656098036545
2001-01-31,3.513064373787797
2001-02-01,5.859381784838205
2001-02-02,3.958127103393106
2001-02-03,4.640431908448523
2001-02-04,4.628868456092788
2001-02-05,4.275381774214779
2001-02-06,6.304053779040253
2001-02-07,4.664779415847585
2001-02-08,3.381117835532792
2001-02-09,4.896555548437465
2001-02-10,3.3100791834457377
2001-02-11,1.2843767965370798
2001-02-12,2.859590831707793
2001-02-13,3.0820503775255963
2001-02-14,2.547397022071949
2001-02-15,4.020613277254513
2001-02-16,3.183267051775504
2001-02-17,2.7275156135066374
2001-02-18,4.712516056831603
2001-02-19,3.753325825090591
2001-02-20,5.052611483199971
2001-02-21,4.584110599100028
2001-02-22,3.798258313544751
2001-02-23,5.441572538276897
2001-02-24,6.142994070370739
2001-02-25,4.51317519760857
2001-02-26,4.210624284368834
2001-02-27,4.267451848361167
2001-02-28,3.987316946306971
2001-03-01,5.693685606157823
2001-03-02,3.060915580096796
2001-03-03,4.05634864924355
2001-03-04,4.135170453127932
2001-03-05,4.610926077815476
2001-03-06,4.823688343717298
2001-03-07,5.315856888650612
2001-03-08,3.3179650254951873
2001-03-09,3.6910876836154074
2001-03-10,3.970565187145354
2001-03-11,3.2166081068020707
2001-03-12,4.941662376383809
2001-03-13,3.1897923378852364
2001-03-14,4.149135197838492
2001-03-15,4.230400854693728
2001-03-16,4.875004585192991
2001-03-17,3.5300952058327724
2001-03-18,3.9581945823145395
2001-03-19,3.5778476981242404
2001-03-20,4.642929490162996
2001-03-21,5.091113605079805
2001-03-22,4.34348490369911
2001-03-23,4.3352437017621295
2001-03-24,4.991314961663733
2001-03-25,5.940933495885812
2001-03-26,4.492242039456073
2001-03-27,5.010682862350067
2001-03-28,4.302009366049886
2001-03-29,1.8105190456290847
2001-03-30,4.998289367534475
2001-03-31,2.226321541482373
2001-04-01,3.952341864095124
2001-04-02,2.0823094474567316
2001-04-03,5.695821598514907
2001-04-04,3.286062801236862
2001-04-05,3.2457381600995223
2001-04-06,2.762321979284851
2001-04-07,3.9905304713243672
2001-04-08,4.0380796597544695
2001-04-09,3.6579642090091427
2001-04-10,5.048973485375772
2001-04-11,5.215451700581442
2001-04-12,4.374438104083643
2001-04-13,2.544524417869117
2001-04-14,2.077258204919647
2001-04-15,3.3198402574893313
2001-04-16,3.6475418726527953
2001-04-17,5.240378461620244
2001-04-18,3.9172272399983314
2001-04-19,3.725276734692623
2001-04-20,2.500861595869907
2001-04-21,4.414972707815024
2001-04-22,3.972454622000342
2001-04-23,3.8320209987418186
2001-04-24,5.723300930282114
2001-04-25,4.323497118196924
2001-04-26,4.467390425244742
2001-04-27,5.132418465823351
2001-04-28,5.7971167829298516
2001-04-29,4.855143821268169
2001-04-30,4.778369144250684
2001-05-01,5.496089537815546
2001-05-02,3.9351516285707944
2001-05-03,2.8710239359074965
2001-05-04,4.395559638326066
2001-05-05,5.086347291706457
2001-05-06,2.7165959071824837
2001-05-07,2.902250153836512
2001-05-08,2.323749995340407
2001-05-09,7.075770001941654
2001-05-10,4.76016907876664
2001-05-11,6.9238475119315535
2001-05-12,5.985476466142792
2001-05-13,7.118346575620663
2001-05-14,6.334269275164776
2001-05-15,6.21860877397795
2001-05-16,5.891376392861224
2001-05-17,4.3685787632500155
2001-05-18,5.529418316383576
2001-05-19,4.007816358496547
2001-05-20,4.450757977184429
2001-05-21,6.3025148712632575
2001-05-22,5.829363771559421
2001-05-23,5.014553538036686
2001-05-24,5.534275096065903
2001-05-25,4.28069777798398
2001-05-26,5.348959616045053
2001-05-27,2.641345745587742
2001-05-28,5.419120757515675
2001-05-29,3.3996166647704866
2001-05-30,4.833313301465421
2001-05-31,2.44046586916356
2001-06-01,3.706283260937668
2001-06-02,6.023177276583972
2001-06-03,3.8978760308024403
2001-06-04,5.822113601712669
2001-06-05,4.799881074324546
2001-06-06,3.6607295766565637
2001-06-07,5.368014743946456
2001-06-08,6.543342310922201
2001-06-09,2.9869254486666446
2001-06-10,5.781044893870073
2001-06-11,4.384171631746286
2001-06-12,4.640174582790678
2001-06-13,3.805010495852681
2001-06-14,3.812165433801361
2001-06-15,5.515443057118913
2001-06-16,4.975782661155154
2001-06-17,3.6629432049108965
2001-06-18,3.5781506139637305
2001-06-19,3.4933580230165644
2001-06-20,3.4085654320693983
2001-06-21,3.323772841122232
2001-06-22,3.2389802501750657
2001-06-23,3.1541876592278997
2001-06-24,3.0693950682807336
2001-06-25,2.984602477333567
2001-06-26,2.899809886386401
2001-06-27,2.815017295439235
2001-06-28,3.1924229862409734
2001-06-29,5.340063420893171
2001-06-30,5.827853523487413
2001-07-01,4.792110491971679
2001-07-02,5.079024207334734
2001-07-03,7.176608638525277
2001-07-04,4.030484179179229
2001-07-05,5.318903969195334
2001-07-06,5.37528297330825
2001-07-07,4.779053213056286
2001-07-08,5.034749494234539
2001-07-09,5.994598751967615
2001-07-10,5.8752917968247464
2001-07-11,4.014286033071782
2001-07-12,4.991021482562875
2001-07-13,5.139314038031702
2001-07-14,5.860924120602385
2001-07-15,6.118226718607427
2001-07-16,6.048860495073188
2001-07-17,6.657683974485933
2001-07-18,8.291380902780542
2001-07-19,6.313697639866859
2001-07-20,6.009326940610065
2001-07-21,7.226812957342091
2001-07-22,6.1011382325535815
2001-07-23,6.9475511896490145
2001-07-24,7.684480710954762
2001-07-25,7.21855302178028
2001-07-26,5.748043239373432
2001-07-27,4.469052789416359
2001-07-28,7.443197724653748
2001-07-29,7.70734140541641
2001-07-30,6.662214343779461
2001-07-31,9.786583760003452
2001-08-01,7.297447710629689
2001-08-02,8.151710723869165
2001-08-03,6.37425077887859
2001-08-04,6.593528933468536
2001-08-05,5.291019560768029
2001-08-06,5.482073696410441
2001-08-07,3.569885956433546
2001-08-08,5.609392584992046
2001-08-09,5.2437122846964215
2001-08-10,6.85863934094393
2001-08-11,6.470589906144905
2001-08-12,3.441334904839526
2001-08-13,4.1461492680130325
2001-08-14,5.596811504026264
2001-08-15,5.147047616316585
2001-08-16,5.858341248480144
2001-08-17,5.272230295140794
2001-08-18,5.674438412439992
2001-08-19,6.745239309984678
2001-08-20,6.125631701117515
2001-08-21,4.383994649721405
2001-08-22,4.798648632864775
2001-08-23,6.1737579436693535
2001-08-24,7.582536420227625
2001-08-25,4.013099181368706
2001-08-26,6.683568174193818
2001-08-27,4.0682038707196515
2001-08-28,5.075397179857841
2001-08-29,6.380403507739229
2001-08-30,6.116830212658449
2001-08-31,4.355333388459592
2001-09-01,5.9392824407659495
2001-09-02,5.009271457386245
2001-09-03,5.804355070474674
2001-09-04,4.2285269369587715
2001-09-05,5.227558508360488
2001-09-06,5.100837704549608
2001-09-07,6.032287228802991
2001-09-08,5.919484956513632
2001-09-09,4.578755154252203
2001-09-10,5.92662473192472
2001-09-11,5.507073696004635
2001-09-12,4.779692569397124
2001-09-13,4.694949753313361
2001-09-14,3.796707568623648
2001-09-15,3.83838748913661
2001-09-16,3.0452862576325326
2001-09-17,4.639286272121953
2001-09-18,2.322627020816472
2001-09-19,4.7599622741782595
2001-09-20,4.545092243879176
